Batch_ID,Region,Distributor_ID,Drug_Category,Distributor_Credibility_Score,Active_Ingredient_Pct,Storage_Temp_Deviation,Packaging_Discrepancy_Flag,Unit_Price_Discount_Pct,Is_Counterfeit
B100040,North,D01,Antibiotic,0.62,99.5,0.2,0,0.0,0
B100041,North,D10,Antibiotic,0.77,104.3,0.5,0,15.5,0
B100042,North-East,D24,Antibiotic,0.31,99.4,0.9,0,23.7,0
B100043,East,D22,Analgesic,0.76,100.9,3.8,0,10.7,0
B100044,North,D18,Analgesic,0.68,99.5,1.1,0,3.5,0
B100045,East,D22,Cardiac,0.75,96.4,4.9,0,2.6,0
B100046,East,D22,Vaccine,0.84,99.5,1.5,0,6.9,0
B100047,North-East,D12,Antibiotic,0.63,101.7,0.2,0,12.7,1
B100048,North,D07,Cardiac,0.77,101.3,0.0,0,0.0,0
B100049,North-East,D19,Antibiotic,0.16,55.5,0.3,0,57.9,1
B100050,Central,D16,Antidiabetic,0.24,96.8,2.4,0,8.9,0
B100051,South,D09,Antibiotic,0.3,,1.7,0,18.9,0
B100052,West,D03,Analgesic,0.52,94.9,0.4,0,21.0,0
B100053,North,D18,Antidiabetic,0.91,101.9,1.7,0,7.1,0
B100054,North-East,D06,Analgesic,0.63,99.4,2.7,0,,0
B100055,South,D23,Analgesic,0.95,96.3,2.5,0,,0
B100056,North-East,D06,Cardiac,0.55,101.2,5.2,0,9.2,0
B100057,West,D03,Antibiotic,0.58,100.0,4.7,0,16.3,0
B100058,East,D20,Cardiac,0.93,79.3,2.9,1,34.4,1
B100059,East,D04,Antidiabetic,0.83,100.1,1.0,0,1.1,1
B100060,East,D04,Antidiabetic,0.89,99.9,0.6,1,7.9,0
B100061,Central,D14,Analgesic,0.53,79.0,,1,13.5,1
B100062,West,D21,Vaccine,0.82,98.7,0.1,0,5.4,0
B100063,East,D05,Cardiac,0.51,98.6,4.0,1,1.9,0
B100064,North,D07,Analgesic,0.81,99.8,0.0,0,0.0,0
B100065,North-East,D19,Vaccine,0.09,98.0,4.7,0,12.3,0
B100066,South,D23,Antibiotic,0.78,99.5,11.3,0,9.8,0
B100067,North-East,D12,Antibiotic,0.72,104.3,2.6,0,2.4,0
B100068,East,D04,Analgesic,0.93,102.3,1.6,0,13.7,0
B100069,North,D01,Antibiotic,0.76,100.7,,0,0.0,0
B100070,North-East,D06,Antibiotic,0.58,103.4,1.5,0,5.1,0
B100071,West,D03,Antibiotic,0.56,98.2,5.2,0,9.5,0
B100072,West,D17,Antidiabetic,0.77,105.5,1.0,0,15.8,0
B100073,West,D03,Antibiotic,0.64,99.0,2.8,0,4.1,0
B100074,North-East,D12,Antibiotic,0.65,104.4,,0,15.9,0
B100075,West,D17,Analgesic,0.74,104.4,3.4,0,3.4,0
B100076,Central,D14,Antibiotic,0.46,96.1,4.4,0,13.8,0
B100077,East,D05,Antidiabetic,0.46,103.2,0.8,0,19.8,0
B100078,East,D20,Antidiabetic,0.85,99.4,2.3,0,1.0,0
B100079,West,D17,Analgesic,0.85,98.8,2.4,0,9.1,1
B100080,North,D18,Analgesic,0.75,101.2,1.0,0,11.8,0
B100081,West,D03,Vaccine,0.69,97.8,2.3,0,0.0,0
B100082,West,D03,Antibiotic,0.75,67.4,14.1,1,7.6,1
B100083,South,D23,Vaccine,0.86,97.9,0.8,0,4.0,0
B100084,North,D10,Antibiotic,0.88,100.4,4.7,0,2.1,0
B100085,North,D07,Antibiotic,0.8,102.9,2.0,0,5.0,0
B100086,North-East,D12,Analgesic,0.7,100.9,4.6,0,4.5,0
B100087,Central,D16,Antibiotic,0.27,94.9,0.3,0,13.6,0
B100088,South,D23,Antibiotic,0.83,101.2,1.7,1,8.0,0
B100089,North,D07,Analgesic,0.67,96.9,1.8,0,24.2,0
B100090,East,D22,Analgesic,0.74,98.2,0.4,0,4.2,0
B100091,North,D01,Antibiotic,0.74,99.1,0.8,0,11.3,1
B100092,Central,D13,Antibiotic,0.83,101.7,1.8,1,6.9,0
B100093,Central,D15,Antibiotic,0.81,100.9,2.6,0,0.0,0
B100094,West,D03,Antibiotic,0.69,101.2,0.6,0,19.1,0
B100095,East,D04,Cardiac,0.85,99.9,1.1,0,8.8,0
B100096,North,D10,Antidiabetic,0.9,98.3,0.4,0,2.5,0
B100097,South,D23,Analgesic,0.79,103.3,0.2,0,10.8,0
B100098,Central,D14,Analgesic,0.47,98.5,15.6,0,15.2,0
B100099,South,D23,Cardiac,0.86,100.9,2.1,0,2.1,0
B100100,East,D20,Analgesic,0.84,99.8,2.5,0,8.4,0
B100101,West,D11,Antibiotic,0.74,101.2,2.6,0,15.3,0
B100102,North-East,D19,Antibiotic,0.15,98.7,0.4,0,9.2,0
B100103,North,D01,Analgesic,0.7,54.1,1.9,0,44.9,1
B100104,West,D03,Analgesic,0.78,103.0,2.7,0,6.2,0
B100105,East,D20,Antibiotic,0.84,102.2,3.4,0,0.0,0
B100106,East,D20,Vaccine,0.83,100.3,2.9,0,6.2,0
B100107,North-East,D06,Vaccine,0.64,99.0,0.9,0,4.1,0
B100108,Central,D13,Vaccine,0.92,,7.8,0,7.2,0
B100109,Central,D15,Analgesic,0.71,97.8,3.9,0,4.2,0
B100110,West,D21,Cardiac,0.85,101.9,2.2,0,9.2,0
B100111,Central,D15,Analgesic,0.76,100.7,2.5,0,5.6,0
B100112,North,D10,Antibiotic,0.79,99.9,0.9,0,13.7,0
B100113,South,D09,Antibiotic,0.2,101.2,1.5,0,14.3,1
B100114,North,D10,Cardiac,0.85,98.9,1.8,0,1.5,0
B100115,Central,D16,Analgesic,0.24,82.3,6.0,0,33.5,1
B100116,West,D21,Antibiotic,0.76,100.7,,0,2.9,0
B100117,West,D11,Vaccine,0.74,105.9,10.8,0,0.1,0
B100118,North-East,D06,Cardiac,0.58,102.4,1.3,0,15.4,0
B100119,North-East,D06,Cardiac,0.62,101.1,1.4,0,3.9,0
B100120,North,D18,Antidiabetic,0.8,101.3,0.9,1,8.7,0
B100121,East,D20,Analgesic,0.9,104.0,1.8,0,0.0,0
B100122,West,D03,Analgesic,0.77,97.9,1.4,0,5.4,0
B100123,Central,D02,Analgesic,0.71,99.6,1.9,0,7.2,0
B100124,Central,D14,Antibiotic,0.44,95.8,0.3,0,5.3,0
B100125,East,D04,Cardiac,0.75,101.2,0.7,0,4.4,0
B100126,East,D20,Analgesic,0.89,101.9,3.2,0,8.3,0
B100127,North,D07,Antibiotic,0.81,97.8,3.0,0,14.9,0
B100128,East,D04,Antidiabetic,0.87,103.2,0.7,0,1.4,0
B100129,East,D22,Vaccine,0.8,98.4,0.5,0,0.0,0
B100130,East,D04,Antibiotic,0.88,99.2,,0,16.7,0
B100131,North,D07,Vaccine,0.91,100.3,0.1,0,3.4,0
B100132,East,D04,Antidiabetic,0.8,103.5,7.0,0,4.0,0
B100133,West,D03,Antidiabetic,0.59,98.1,5.3,0,4.2,0
B100134,North,D01,Analgesic,0.63,100.6,1.0,0,0.0,0
B100135,Central,D02,Antidiabetic,0.7,101.7,7.0,0,5.2,1
B100136,East,D04,Antidiabetic,0.79,101.3,0.9,0,6.0,0
B100137,Central,D02,Cardiac,0.75,101.3,1.7,0,11.0,0
B100138,Central,D14,Antidiabetic,0.54,101.7,,0,4.2,0
B100139,West,D17,Vaccine,0.87,98.8,1.4,1,0.0,0
B100140,North,D10,Cardiac,0.87,103.7,3.8,0,0.0,0
B100141,North,D07,Analgesic,0.91,99.8,3.7,0,15.8,0
B100142,North-East,D12,Cardiac,0.64,99.5,2.9,0,2.1,0
B100143,West,D21,Antibiotic,0.73,103.0,11.4,0,11.8,0
B100144,West,D21,Cardiac,0.89,98.6,2.8,0,3.0,0
B100145,North,D01,Antidiabetic,0.59,,14.5,0,,1
B100146,East,D04,Vaccine,0.8,88.2,0.3,0,8.7,0
B100147,North-East,D06,Antidiabetic,0.63,105.5,1.0,0,0.0,0
B100148,North-East,D06,Vaccine,0.59,105.1,5.5,0,0.0,0
B100149,Central,D13,Antibiotic,0.86,96.8,3.1,1,7.9,1
B100150,North,D10,Antibiotic,0.76,101.1,2.2,0,14.4,0
B100151,Central,D02,Cardiac,0.74,100.0,0.4,0,0.0,0
B100152,South,D09,Analgesic,0.3,89.9,,0,,0
B100153,North-East,D12,Vaccine,0.66,100.3,6.1,0,7.4,0
B100154,West,D03,Analgesic,0.64,91.6,11.9,1,51.1,1
B100155,East,D20,Vaccine,0.86,96.7,1.9,0,4.8,0
B100156,Central,D02,Analgesic,0.69,100.6,1.2,1,,0
B100157,East,D22,Antidiabetic,0.79,99.9,0.1,0,0.0,0
B100158,West,D03,Cardiac,0.71,100.7,2.0,0,0.6,0
B100159,West,D21,Cardiac,0.78,99.8,7.0,0,0.0,0
B100160,East,D22,Analgesic,0.64,99.2,5.7,0,11.0,0
B100161,North-East,D24,Antidiabetic,0.31,101.9,1.1,0,,0
B100162,East,D20,Antibiotic,0.88,101.2,8.4,0,0.5,0
B100163,North-East,D19,Vaccine,0.14,103.1,1.5,0,17.1,0
B100164,Central,D15,Antibiotic,0.67,87.0,2.9,0,7.3,0
B100165,North-East,D19,Analgesic,0.04,99.6,0.5,0,13.9,0
B100166,West,D03,Analgesic,0.7,101.4,7.8,0,13.4,0
B100167,Central,D13,Cardiac,1.0,95.6,0.1,0,7.1,0
B100168,North-East,D12,Vaccine,0.7,104.6,1.7,0,0.0,0
B100169,West,D21,Antibiotic,0.84,,0.6,0,9.4,0
B100170,West,D11,Analgesic,0.78,104.8,1.9,0,11.7,0
B100171,South,D09,Antidiabetic,0.14,98.1,1.5,0,3.4,0
B100172,Central,D15,Vaccine,0.65,97.5,2.1,0,9.1,0
B100173,North-East,D06,Antibiotic,0.44,100.8,3.3,0,7.8,0
B100174,East,D04,Vaccine,0.95,100.8,1.9,0,1.3,0
B100175,West,D11,Analgesic,0.85,100.7,3.1,0,7.3,0
B100176,North,D10,Vaccine,0.86,100.4,0.2,0,4.4,0
B100177,North-East,D06,Vaccine,0.6,98.6,4.6,0,10.6,0
B100178,South,D09,Analgesic,0.15,96.7,3.6,0,3.9,0
B100179,South,D09,Vaccine,0.23,93.9,12.6,0,27.0,1
B100180,Central,D08,Vaccine,0.87,97.2,1.5,0,0.0,0
B100181,South,D09,Antibiotic,0.25,97.0,0.9,0,23.4,0
B100182,West,D17,Antidiabetic,0.74,99.2,1.9,0,4.8,0
B100183,North,D07,Analgesic,0.68,100.9,1.1,0,0.1,0
B100184,South,D23,Vaccine,0.89,104.4,1.5,0,12.2,0
B100185,East,D22,Antibiotic,0.76,102.2,0.5,0,9.3,0
B100186,West,D11,Analgesic,0.65,103.2,0.5,1,,0
B100187,Central,D08,Antidiabetic,0.7,101.4,14.0,0,12.6,0
B100188,Central,D13,Antibiotic,0.8,100.8,4.5,0,15.7,0
B100189,West,D21,Antibiotic,0.82,105.5,0.1,0,0.5,0
B100190,Central,D16,Antibiotic,0.2,97.1,1.9,0,9.0,0
B100191,East,D20,Analgesic,0.9,99.1,4.7,0,0.0,0
B100192,Central,D13,Antidiabetic,0.92,99.3,2.3,1,5.9,0
B100193,Central,D15,Analgesic,0.72,102.0,0.5,0,12.7,1
B100194,North,D07,Vaccine,0.84,97.8,1.1,0,1.7,0
B100195,North,D18,Cardiac,0.78,101.7,1.0,0,23.6,0
B100196,East,D05,Cardiac,0.71,101.3,9.2,0,8.1,0
B100197,West,D17,Antibiotic,0.74,101.8,0.6,0,0.0,0
B100198,West,D21,Antibiotic,0.77,101.7,2.7,0,12.9,0
B100199,West,D03,Vaccine,0.63,103.4,0.5,0,23.5,0
B100200,Central,D15,Cardiac,0.71,99.9,0.7,0,0.0,0
B100201,West,D03,Cardiac,0.59,101.2,2.3,0,13.0,0
B100202,North,D18,Cardiac,0.82,98.4,2.3,0,1.1,0
B100203,Central,D02,Cardiac,0.63,97.9,1.5,1,7.6,0
B100204,South,D23,Vaccine,0.81,103.9,1.5,0,0.0,0
B100205,East,D04,Vaccine,0.77,98.2,5.3,0,14.0,0
B100206,South,D23,Antibiotic,0.78,101.4,6.3,0,5.8,0
B100207,East,D20,Antidiabetic,0.97,101.2,2.5,0,16.1,0
B100208,Central,D14,Analgesic,0.6,102.6,4.0,0,0.8,0
B100209,North-East,D19,Vaccine,0.04,89.2,0.8,0,33.1,1
B100210,East,D20,Antibiotic,0.92,102.0,,0,0.0,0
B100211,South,D23,Cardiac,0.76,99.9,0.6,0,26.2,0
B100212,North-East,D06,Cardiac,0.54,98.7,11.4,0,21.4,0
B100213,Central,D14,Cardiac,0.42,99.4,3.0,0,23.3,0
B100214,West,D03,Antibiotic,0.74,102.3,0.1,0,18.7,0
B100215,Central,D15,Antidiabetic,0.69,101.6,0.5,0,3.9,0
B100216,East,D04,Cardiac,0.98,99.7,21.5,0,7.7,0
B100217,Central,D13,Cardiac,0.9,97.5,8.7,0,10.0,0
B100218,Central,D13,Cardiac,0.81,97.6,3.7,0,10.6,0
B100219,West,D11,Antidiabetic,0.73,101.7,3.9,0,0.3,0
B100220,North-East,D12,Antidiabetic,0.61,97.2,,0,0.0,0
B100221,North-East,D19,Analgesic,0.15,99.7,8.5,0,0.0,0
B100222,East,D20,Analgesic,0.83,105.9,4.3,0,5.0,0
B100223,North-East,D12,Vaccine,0.58,101.0,0.1,0,5.8,0
B100224,Central,D14,Cardiac,0.43,101.6,2.9,0,4.8,0
B100225,South,D23,Analgesic,0.84,97.7,4.6,0,9.8,0
B100226,West,D03,Antibiotic,0.76,97.3,5.5,1,0.0,0
B100227,West,D03,Antibiotic,0.77,101.8,1.2,0,2.0,0
B100228,Central,D02,Antidiabetic,0.77,99.4,1.3,1,2.7,0
B100229,Central,D16,Antidiabetic,0.18,102.6,2.5,0,13.7,0
B100230,North,D10,Antidiabetic,0.88,100.3,1.4,0,9.4,0
B100231,North-East,D19,Analgesic,0.03,107.8,0.9,0,10.4,0
B100232,Central,D16,Cardiac,0.08,99.0,3.3,0,1.5,0
B100233,Central,D08,Cardiac,0.78,100.9,5.3,0,8.3,0
B100234,East,D22,Vaccine,0.71,98.3,0.7,0,2.6,0
B100235,North,D18,Antibiotic,0.8,102.5,1.4,0,2.8,0
B100236,North-East,D06,Antidiabetic,0.6,101.2,0.4,0,10.6,0
B100237,South,D09,Antibiotic,0.26,98.1,1.8,0,3.5,0
B100238,North,D07,Analgesic,0.84,99.5,0.6,0,7.3,0
B100239,East,D04,Cardiac,0.9,103.2,0.4,0,6.1,0
B100240,East,D04,Cardiac,0.86,103.0,4.5,0,0.0,0
B100241,South,D23,Vaccine,0.78,97.1,3.0,0,4.0,0
B100242,West,D11,Cardiac,0.76,99.2,3.5,0,4.1,0
B100243,South,D09,Antibiotic,0.21,104.2,1.2,0,5.3,0
B100244,North,D18,Cardiac,0.79,99.9,,0,0.0,0
B100245,Central,D13,Antibiotic,1.0,100.6,2.2,0,2.9,0
B100246,South,D23,Cardiac,0.81,102.5,2.8,0,14.4,0
B100247,North-East,D19,Cardiac,0.13,97.3,1.5,0,11.1,0
B100248,West,D11,Antibiotic,0.71,98.2,3.2,0,5.2,0
B100249,South,D09,Antibiotic,0.3,65.3,3.2,0,10.6,1
B100250,North-East,D24,Cardiac,0.33,102.9,0.1,0,8.7,0
B100251,West,D17,Antibiotic,0.82,102.5,1.2,0,14.8,0
B100252,South,D23,Antibiotic,0.82,101.8,0.5,0,18.6,0
B100253,West,D03,Analgesic,0.75,99.9,1.0,0,4.3,0
B100254,West,D21,Antidiabetic,0.9,102.7,1.9,0,0.6,0
B100255,Central,D15,Analgesic,0.73,99.9,,0,11.4,0
B100256,West,D03,Vaccine,0.68,101.5,1.0,0,10.5,0
B100257,Central,D14,Antidiabetic,0.51,102.2,2.4,0,8.1,0
B100258,West,D17,Analgesic,0.72,104.0,8.2,0,3.6,0
B100259,North,D01,Analgesic,0.65,100.1,3.6,0,0.0,0
B100260,West,D11,Analgesic,0.75,99.4,1.4,0,12.7,0
B100261,East,D20,Vaccine,0.83,103.1,6.3,0,14.3,0
B100262,North,D07,Vaccine,0.83,103.2,2.3,0,5.5,0
B100263,West,D11,Cardiac,0.7,99.0,0.2,0,20.0,0
B100264,West,D11,Antibiotic,0.73,97.8,0.1,0,9.7,0
B100265,North,D07,Cardiac,0.77,102.9,1.1,1,6.8,0
B100266,East,D22,Antibiotic,0.77,96.6,8.4,0,0.0,0
B100267,North-East,D19,Vaccine,0.08,96.5,4.1,0,0.0,0
B100268,West,D03,Antibiotic,0.69,99.6,19.9,0,4.4,0
B100269,North-East,D24,Analgesic,0.29,100.2,8.8,0,10.6,0
B100270,West,D21,Cardiac,0.8,97.7,,0,24.3,0
B100271,North,D07,Vaccine,0.73,,0.1,0,8.5,0
B100272,West,D21,Antibiotic,0.89,100.6,0.9,0,12.1,0
B100273,West,D03,Antibiotic,0.56,98.9,0.1,0,2.2,0
B100274,North-East,D24,Cardiac,0.28,100.4,1.2,0,9.5,0
B100275,Central,D16,Vaccine,0.16,100.9,0.3,0,8.5,0
B100276,Central,D16,Cardiac,0.21,102.5,9.2,0,1.4,0
B100277,Central,D02,Vaccine,0.65,96.8,5.9,0,17.4,0
B100278,East,D22,Antibiotic,0.74,96.8,2.4,0,7.1,0
B100279,North,D01,Cardiac,0.69,101.0,0.2,0,15.7,0
B100280,North-East,D06,Analgesic,0.66,104.1,1.0,0,8.1,0
B100281,East,D04,Antibiotic,0.87,97.8,1.2,1,5.7,0
B100282,North-East,D19,Antidiabetic,0.03,100.3,1.2,0,2.5,0
B100283,East,D05,Antibiotic,0.49,97.3,0.4,0,5.5,0
B100284,East,D22,Vaccine,0.82,98.4,1.0,0,18.3,0
B100285,Central,D16,Vaccine,0.12,100.4,1.3,0,1.7,0
B100286,North,D01,Analgesic,0.69,98.9,2.1,0,12.7,0
B100287,North,D01,Cardiac,0.7,84.2,0.8,0,5.8,0
B100288,Central,D02,Antibiotic,0.72,97.1,2.2,0,12.1,0
B100289,Central,D15,Antidiabetic,0.88,95.9,0.4,0,9.4,0
B100290,East,D20,Analgesic,0.91,101.0,1.6,0,0.0,0
B100291,North-East,D06,Antidiabetic,0.62,101.3,3.0,0,9.2,0
B100292,West,D21,Cardiac,0.78,101.3,10.6,0,23.2,0
B100293,Central,D02,Antidiabetic,0.77,98.0,5.6,0,10.2,0
B100294,East,D20,Analgesic,0.98,102.2,2.3,0,14.5,0
B100295,South,D23,Vaccine,0.77,98.9,12.8,1,8.9,1
B100296,North-East,D19,Analgesic,0.1,97.6,7.4,1,23.1,1
B100297,West,D17,Cardiac,0.72,99.7,1.9,0,3.0,0
B100298,West,D21,Analgesic,0.76,98.6,2.4,0,7.1,0
B100299,North,D01,Cardiac,0.76,100.4,2.0,0,14.2,0
B100300,East,D05,Antibiotic,0.49,103.6,2.5,0,5.5,0
B100301,West,D03,Cardiac,0.55,96.6,0.4,0,15.5,0
B100302,North-East,D12,Antibiotic,0.76,99.4,3.3,0,1.0,0
B100303,North,D18,Antidiabetic,0.76,101.2,2.6,0,8.4,0
B100304,Central,D15,Antibiotic,0.7,97.6,0.4,0,6.2,0
B100305,West,D21,Antibiotic,0.93,94.9,0.8,0,26.5,0
B100306,East,D04,Cardiac,0.84,98.2,1.0,0,5.3,0
B100307,North,D18,Cardiac,0.79,101.5,5.6,0,10.9,0
B100308,East,D05,Cardiac,0.45,106.5,2.3,0,0.0,0
B100309,North-East,D06,Antidiabetic,0.5,98.7,1.2,0,0.0,0
B100310,West,D17,Vaccine,0.77,106.4,2.1,0,10.1,0
B100311,North-East,D24,Cardiac,0.31,101.1,7.9,0,6.2,0
B100312,Central,D15,Vaccine,0.74,98.4,0.9,0,6.3,0
B100313,Central,D02,Analgesic,0.71,98.2,4.6,0,5.7,0
B100314,Central,D15,Analgesic,0.72,105.2,5.6,0,6.7,0
B100315,North,D01,Antibiotic,0.59,101.1,1.4,0,0.0,0
B100316,East,D22,Analgesic,0.8,98.8,1.3,0,7.4,0
B100317,West,D17,Cardiac,0.79,79.5,7.9,1,14.2,1
B100318,East,D04,Antibiotic,0.97,100.9,0.9,0,15.5,0
B100319,West,D03,Antidiabetic,0.69,100.0,2.1,0,13.8,0
B100320,East,D05,Analgesic,0.47,100.8,,0,0.0,0
B100321,North-East,D24,Antibiotic,0.29,83.2,23.1,0,7.9,1
B100322,West,D11,Analgesic,0.74,84.0,0.9,0,20.6,0
B100323,North-East,D19,Antibiotic,0.13,88.2,18.4,0,2.0,1
B100324,Central,D15,Antibiotic,0.72,99.8,5.0,0,11.4,0
B100325,Central,D13,Cardiac,0.8,98.9,1.1,0,4.5,0
B100326,East,D04,Antibiotic,0.75,102.4,0.8,0,13.2,0
B100327,South,D23,Antibiotic,0.82,96.8,0.8,0,0.0,0
B100328,North,D07,Cardiac,0.86,94.8,1.1,0,4.0,0
B100329,Central,D14,Antibiotic,0.47,64.7,3.4,1,12.6,1
B100330,West,D17,Cardiac,0.82,99.7,1.4,0,12.3,0
B100331,Central,D16,Cardiac,0.25,97.0,2.5,0,9.5,0
B100332,South,D23,Antibiotic,0.82,96.2,2.3,0,10.8,0
B100333,East,D04,Analgesic,0.8,104.2,,0,9.1,0
B100334,North-East,D12,Antibiotic,0.67,101.0,0.4,0,5.8,0
B100335,North,D10,Analgesic,0.91,100.0,4.3,0,17.4,0
B100336,West,D11,Antibiotic,0.79,104.8,40.1,0,21.0,0
B100337,West,D03,Antidiabetic,0.74,102.2,4.2,0,,0
B100338,West,D03,Antibiotic,0.66,103.9,12.1,0,0.0,0
B100339,North,D07,Cardiac,0.77,97.4,1.3,0,6.4,0
B100340,North,D07,Antibiotic,0.77,97.3,2.1,0,8.6,0
B100341,North,D10,Antibiotic,0.83,101.4,6.0,0,0.0,0
B100342,Central,D15,Analgesic,0.79,,5.0,0,17.4,0
B100343,Central,D15,Analgesic,0.58,102.7,,0,3.5,0
B100344,North,D10,Antidiabetic,0.84,96.4,0.1,0,2.2,0
B100345,North,D10,Antibiotic,0.83,101.5,2.6,0,5.6,0
B100346,East,D05,Antibiotic,0.44,102.2,1.2,0,4.7,1
B100347,Central,D14,Vaccine,0.5,102.1,0.5,0,8.4,0
B100348,North,D07,Vaccine,0.74,99.1,,0,13.5,0
B100349,North,D01,Antidiabetic,0.67,101.1,7.2,0,16.9,0
B100350,North,D10,Antidiabetic,0.95,98.3,0.3,0,13.5,0
B100351,West,D11,Antidiabetic,0.82,99.4,1.3,0,1.4,0
B100352,East,D05,Antibiotic,0.56,97.7,,0,7.2,0
B100353,Central,D13,Analgesic,0.9,98.3,3.6,0,8.7,0
B100354,Central,D13,Cardiac,0.86,99.5,0.4,0,10.2,0
B100355,West,D17,Vaccine,0.9,98.9,1.1,0,11.4,0
B100356,Central,D16,Cardiac,0.24,98.3,1.8,0,8.5,0
B100357,Central,D16,Antibiotic,0.14,97.1,,0,7.4,0
B100358,North,D07,Vaccine,0.7,104.3,12.9,0,14.4,0
B100359,North-East,D19,Antidiabetic,0.14,98.9,3.4,0,7.1,0
B100360,Central,D13,Vaccine,0.87,100.7,3.0,0,14.7,0
B100361,North,D10,Antidiabetic,0.75,96.1,7.2,0,13.7,0
B100362,Central,D15,Vaccine,0.74,103.0,4.7,0,18.2,0
B100363,Central,D08,Antibiotic,0.74,100.4,1.8,0,9.5,0
B100364,North-East,D12,Vaccine,0.69,99.0,1.3,0,18.1,0
B100365,North,D18,Antibiotic,0.83,99.0,19.0,0,5.9,0
B100366,East,D22,Analgesic,0.73,101.9,0.4,0,10.4,0
B100367,East,D22,Antibiotic,0.81,93.5,0.5,0,13.4,0
B100368,North-East,D12,Analgesic,0.63,98.2,3.0,0,0.9,0
B100369,North-East,D12,Antidiabetic,0.63,71.7,9.9,1,25.6,1
B100370,East,D20,Vaccine,0.9,99.7,0.1,0,3.3,0
B100371,North,D07,Antibiotic,0.85,105.5,2.2,0,7.6,0
B100372,West,D21,Analgesic,0.81,99.3,1.8,0,4.3,0
B100373,North-East,D12,Cardiac,0.74,102.2,41.7,0,8.7,0
B100374,West,D03,Analgesic,0.8,104.0,7.5,0,7.5,0
B100375,Central,D02,Antibiotic,0.7,101.5,2.0,0,6.0,0
B100376,West,D21,Analgesic,0.65,97.7,2.8,0,,0
B100377,Central,D02,Analgesic,0.8,97.2,0.1,0,3.2,0
B100378,North,D07,Vaccine,0.76,101.6,8.8,0,2.0,0
B100379,Central,D08,Antibiotic,0.71,103.6,3.8,0,0.0,0
B100380,East,D04,Antidiabetic,0.81,101.2,1.1,0,0.0,0
B100381,North,D07,Antibiotic,0.76,90.7,0.4,0,3.2,0
B100382,North,D18,Antibiotic,0.88,105.7,3.9,0,11.8,0
B100383,North,D01,Antibiotic,0.71,101.8,2.4,0,6.6,0
B100384,East,D20,Analgesic,1.0,97.6,2.8,0,8.1,0
